company,position_title,reference_number,event,event_date,note
Australian Signals Directorate,"ASD 4, 5, & 6 Mandarin Language Careers",ASD/09923/24,submitted application,2024-11-20,
Australian Signals Directorate,Data Analytic Engineer,ASD/01826/24,submitted application,2024-04-17,
Australian Signals Directorate,Data Analytic Engineer,ASD/01826/24,interview invitation,2024-05-29,
Australian Signals Directorate,Data Analytic Engineer,ASD/01826/24,interview online,2024-06-12,
Australian Signals Directorate,Data Analytic Engineer,ASD/01826/24,referee request,2024-06-13,
Australian Signals Directorate,Data Analytic Engineer,ASD/01826/24,phone inquiry,2024-08-16,ASD asked if I would take the role of data engineer rather than the applied data analytic engineer
Australian Signals Directorate,Data Analytic Engineer,ASD/01826/24,responded to follow-up,2024-09-18,"Good Morning Lun-Hsien Thank you for your email. From my view of our systems, you still appear to be in the Merit Pool for this activity. Unfortunately ASD Recruitment does not have any oversight of the Merit Pools after their creation, nor any oversight of offers and onboarding. Consequently I have CC’d the ASD Merit Pool Management and ASD Candidate Care teams in the hopes they will be able to assist you regarding your query below. Kind Regards Shauna ManleyASD Recruitment | asd.recruitment@defence.gov.au"
Australian Signals Directorate,Offensive Cyber Specialist (Software Developer and Software Reverse Engineer),ASD/08853/24,submitted application,2024-10-28,
Australian Signals Directorate,Offensive Cyber Specialist (Software Developer and Software Reverse Engineer),ASD/08853/24,skill assessment invitation,2024-11-05,test on HackerRank 45 minutes to complete in 1 week
Australian Signals Directorate,Offensive Cyber Specialist (Software Developer and Software Reverse Engineer),ASD/08853/24,test webcam,2024-11-08,https://webcamtests.com/
Australian Signals Directorate,Offensive Cyber Specialist (Software Developer and Software Reverse Engineer),ASD/08853/24,practical assessment,2024-11-11,"test on HackerRank 45 minutes, 6 questions - 4 multiple choices, 2 coding challenges"
Australian Signals Directorate,Offensive Cyber Specialist (Software Developer and Software Reverse Engineer),ASD/08853/24,rejected application,2024-11-27,
Avance Clinical,Statistical Programmer,NA,submitted application,2024-11-06,
Avance Clinical,Statistical Programmer,NA,phone screen invitation,2024-11-07,
Avance Clinical,Statistical Programmer,NA,phone screen interview,2024-11-08,
Avance Clinical,Statistical Programmer,NA,interview online,2024-11-12,
Defence,Researcher (Scientific Officer) APS Level 4/5-6 (S&T Level 3-4),DPG/06377/24,submitted application,2024-08-12,
Defence,Researcher (Scientific Officer) APS Level 4/5-6 (S&T Level 3-4),DPG/06377/24,rejected application,2024-09-20,
Employment Hero,Data Analyst,Forecast-Data#1,submitted application,2024-08-07,
Employment Hero,Data Analyst,Forecast-Data#1,rejected application,2024-08-12,
Endeavour College of Natural Health,Academic Data Analyst,YQ36N,submitted application,2024-09-18,
Endeavour College of Natural Health,Academic Data Analyst,YQ36N,rejected application,2024-10-29,
Greenlight Clinical,Statistical programmer II,NA,employment start,2021-09-27,
Greenlight Clinical,Statistical programmer II,NA,redundancy notification,2024-07-24,
Greenlight Clinical,Statistical programmer II,NA,signed off Post-Terminations Obligations,2024-07-31,
Greenlight Clinical,Statistical programmer II,NA,employment end,2024-08-08,
Greenlight Clinical,Statistical programmer II,NA,Microsoft Team account locked,2024-08-12,
Greenlight Clinical,Statistical programmer II,NA,Windows login blocked,2024-08-25,
Greenlight Clinical,Statistical programmer II,NA,DHL pickup computer devices,2024-09-18,
HoloHire,Junior Data Analyst - Remote,NA,submitted application,2024-10-30,
I-Pharm Consulting,"Clinical Statistical Programmer (II, Senior, or Principal)",PROG22082024_1724307475,submitted application,2024-09-04,Attached resume has a new section- table experience in clinical research
I-Pharm Consulting,"Clinical Statistical Programmer (II, Senior, or Principal)",PROG22082024_1724307475,submitted application,2024-09-15,Recruiter posted again on LinkedIn with the same Job ID. Made another submission with same CV anyway
i-Pharm Consulting,"Clinical Statistical Programmer (II, Senior, or Principal)",PROG22082024_1727076781,submitted application,2024-10-11,
i-Pharm Consulting,Statistical Programmer II,NA,submitted application,2024-04-23,
ICON,Epidemiologist (US-remote),2024-115531,submitted application,2024-12-05,
ICON,Statistical Programmer II,JR124827,submitted application,2024-10-23,
ICON,Statistical Programmer II,JR124827,rejected application,2024-10-24,
IQVIA,internal reference,NA,sent CV,2024-11-06,Connected to Ebenezer Owusu Adjah through Upekha (Esha) Liyanage. CV sent to ebenezer.owusuadjah@iqvia.com
Logan Together,Data Analyst,NA,submitted application,2024-05-03,
Logan Together,Data Analyst,NA,interview online,2024-05-15,
Mater,Cancer Care Clinical Data Analyst,501116,submitted application,2024-07-25,
Mater,Cancer Care Clinical Data Analyst,501116,phone screen interview,2024-07-29,
Mater,Cancer Care Clinical Data Analyst,501116,phone screen interview,2024-08-01,
Metro South Health,Biostatistician,MS10596347,submitted application,2024-10-18,
Metro South Health,Biostatistician,MS10596347,rejected application,2024-12-03,
Murdoch Children's Research Institute,Senior Computational Biologist,NA,phone screen interview,2024-08-20,
Murdoch Children's Research Institute,Senior Computational Biologist,NA,emailed CV,2024-08-20,
Murdoch Children's Research Institute,Senior Computational Biologist,NA,rejected application,2024-08-28,"Hi LunHsien,
I hope you are well. Unfortunately, at this stage they have moved forward with stronger applicants with a strong background in population genomics and ancestry genetics experience. If anything changes, I will reach back out to you. Please let me know if you have any questions at all.  Kind Regards, Shannon"
National Disability Insurance Agency,Data Analyst,NA,submitted application,2024-09-20,Application submitted to CYOS Recruitment
National Disability Insurance Agency,Data Analyst,NA,submitted application additional files,2024-09-24,"uploaded addressing selection criteria, resume and 2 referees to https://cyos-solutions.breezy.hr/q/c7e93533ac11"
National Disability Insurance Agency,EL 1 Software developer,NA,send resume,2024-09-27,"Resume, table emailed to PeopleBank Priyanka Arora"
National Disability Insurance Agency,EL 1 Software developer,NA,selection criteria addressed sent,2024-09-30,
Novotech,Senior Statistical Programmer,NA,phone screen interview,2024-09-03,Melanie Dunn Talent Acquisition Specialist at Novotech got in touch in LinkedIn chat. Phone screen scheduled at 11 AM
Novotech,Senior Statistical Programmer,NA,interview online,2024-09-12,"90% CDISC SDTM ADaM knowledge, 10% task-oriented, 0% behavioural questions"
Novotech,Senior Statistical Programmer,NA,rejected application,2024-09-24,A call from HR at 9:35
Optimum Patient Care,Graduate Data Analyst,NA,submitted application,2024-10-14,
Optimum Patient Care,Graduate Data Analyst,NA,interview invitation,2024-10-25,"Dear Dr Lun-Hsien Chang, Thank you for applying for the Graduate Data Analyst position at OPCA. We appreciate your interest and would like to invite you to a preliminary interview with our Global HR Manager. Would Thursday, October 31, 2024, at 7 PM AEST work for you? The interview will last approximately 30 minutes and will be conducted via Microsoft Teams. Kind Regards, Peggy Peggy Swe| Administrative, HR and Business Support Executive Optimum Patient Care 5 Coles Lane, Cambridge, CB24 3BA"
Optimum Patient Care,Graduate Data Analyst,NA,rejected application,2024-11-06,"Dear Chang, I hope you are well. I would you like to update you that OPCA has decided to proceed with a candidate whom we believe more closely matches the requirements of the role. As such, we will need to cancel the interview scheduled for tomorrow. We sincerely appreciate the time and effort you dedicated to your application, and we will keep your details on file for any future opportunities that may align better with your profile. Thank you again for your interest in the position, and I wish you all the best in your continued professional journey. Kind Regards, Peggy"
Outlier,Mathematics Expertise Sought for AI Training,NA,submitted application,2024-10-04,
Q Recruitment,Biostatistician,NA,submitted application,2024-06-19,
QIMR Berghofer Medical Research Institute,PhD student,NA,employment start,2016-04-05,
QIMR Berghofer Medical Research Institute,PhD student,NA,employment end,2020-05-11,
QIMR Berghofer Medical Research Institute,Postdoctoral Researcher,JM000206,submitted application,2024-11-01,
QIMR Berghofer Medical Research Institute,Postdoctoral Researcher,JM000206,rejected application,2024-12-22,
QIMR Berghofer Medical Research Institute,Research Officer,BV000014,submitted application,2024-08-11,
QIMR Berghofer Medical Research Institute,Research Officer,BV000014,rejected application,2024-10-27,
QIMR Berghofer Medical Research Institute,Research Officer,NA,employment start,2020-04-27,Employee No: 22953
QIMR Berghofer Medical Research Institute,Research Officer,NA,employment end,2021-11-09,
Queensland Health,Senior Data Scientist,QLD/CPSS547629,submitted application,2024-03-12,
Queensland Health,Senior Data Scientist,QLD/CPSS547629,rejected application,2024-05-15,
Queensland Police Service,Senior Statistical Analyst,QLD/559041/24,submitted application,2024-04-30,
Queensland Police Service,Senior Statistical Analyst,QLD/559041/24,interview invitation,2024-05-07,
Queensland Police Service,Senior Statistical Analyst,QLD/559041/24,interview face to face,2024-05-21,
Queensland Police Service,Senior Statistical Analyst,QLD/559041/24,follow-up,2024-05-31,
Queensland Police Service,Senior Statistical Analyst,QLD/559041/24,rejected application,2024-06-10,
Queensland Police Service,Senior Statistical Analyst,QLD/581013/24,inquiry email,2024-08-05,
Queensland Police Service,Statistician (Data Analyst),QLD/597967/24,submitted application,2024-10-25,
Queensland Police Service,Statistician (Data Analyst),QLD/597967/24,interview notification email,2024-12-12,"Hi Chang, Your interview with the panel will begin at 10:00am Friday 17th January 2025. Please arrive 15 minutes before your interview to allow yourself time for perusal of the interview questions, which you may takes notes on. Devices are not permitted during perusal and will be safely stored in a locked cabinet. You will be able to bring the questions into your interview to refer to. You may not refer to your application or resume during the interview. Your interview will take place on level 4, 30 Makerston St, Brisbane 4000. Please come to level 4 upon your arrival. Attached is the role description of the job you are applying and our employment screening form. Please bring the completed employment screening form (part 3-6) along with certified copies of the required ID documents so that if you are the successful candidate, we can immediately begin the onboarding process. Please feel free to contact me if you have any questions."
Queensland Police Service,Statistician (Data Analyst),QLD/597967/24,interview face to face,2025-01-17,
Queensland Treasury,Statistician/Analyst,QLD/581775/24 ,submitted application,2024-08-14,
Queensland Treasury,Statistician/Analyst,QLD/581775/24 ,interview scheduling phone call,2024-08-26,"Call from Kate Bowdler 07 35228271
Interview shceduled at 10:25 02-Sep-2024
Present R code in 2 pages printout. No laptop is available during interview"
Queensland Treasury,Statistician/Analyst,QLD/581775/24 ,interview notification email,2024-08-27,
Queensland Treasury,Statistician/Analyst,QLD/581775/24 ,interview face to face,2024-09-02,
Queensland Treasury,Statistician/Analyst,QLD/581775/24 ,rejected application,2024-09-16,
Queensland Treasury,Statistician/Analyst,QLD/581775/24 ,feedback provided,2024-09-17,"Hi Chang, Thanks for your request for feedback. Your written application addressed the success criteria and demonstrated strong technical skills and data processing, visualisation and statistical analysis experience. For the interview, the panel was concerned that you provided four code examples where one was requested and that these examples were all much longer than the requested length of up to two pages. The panel also noted that while the comments in your code indicated what the code did, there was no explanation for why. The panel was concerned that you had failed to notice all of the questions provided in the perusal period. You did not provide sufficient detail in your response to the question on communication and working in project teams. For the question on using the data provided to create a survey contact list, the panel felt that your response did not identify all of the key considerations. I hope this helps and wish you the best of luck in future. Regards, Sylvia. Sylvia ElmesPrincipal Statistician | Queensland Government Statistician's Office (07) 3035 6837 | 0459 815 893sylvia.elmes@treasury.qld.gov.auQueensland Treasury | Level 22, 1 William Street"
Queensland Treasury,Statistician/Analyst,QLD/583905/24,submitted application,2024-08-16,
Queensland Treasury,Statistician/Analyst,QLD/583905/24,rejected application,2024-10-14,
Rackley Swimming,Swim coach,NA,interview scheduling phone call,2025-01-22,"Good Evening, Thanks for your application to Rackley Swimming Runcorn. We were impressed by your experience and would like to invite you to interview at Runcorn Aquatic Centre to tell you a little more about the position and get to know you better. Are you available for an interview? I've included a few available slots: Interview availability: Tuesday  11.30am, 12pm If these are not suitable, please let me know what your availability is for the next week. Venue Location Address: 37 Bonemill Road, Runcorn 4113. At the interview, please bring with you your qualifications for: Blue Card CPR First Aid Swim Teacher If you do not yet have these qualifications, we can talk through the process during the interview. When you arrive at the venue, please ask reception for Ben Wells, and I look forward to meeting you soon. Kind Regards, Shantel Schoeman Swim School Manager Rackley Swimming Runcorn 37 Bonemill Road, Runcorn, QLD, 4113 P 07 3054 4382 W www.rackleyswimming.com.au E runcorn@rackleyswimming.com.au"
SEEK,NA,NA,verified right to work,2024-10-31,
SEEK,NA,NA,verified Australian Driver's Licence,2024-11-01,
SoftTestPays,Data Analyst,NA,submitted application,2024-09-20,Application submitted to SoftTestPays client unknown
Southern Start Research,Senior/Statistical Programmer,NA,phone screen invitation,2024-12-03,"
Ruby Lewis, Senior HR Advisor @ Southern Star Research | CIPD Level 3 Sydney, New South Wales, Australia asked through Linkedin messages"
Southern Start Research,Senior/Statistical Programmer,NA,submitted application,2024-12-03,
Southern Start Research,Senior/Statistical Programmer,NA,phone screen interview,2024-12-05,
Southern Start Research,Senior/Statistical Programmer,NA,follow-up by email,2024-12-10,
Southern Start Research,Senior/Statistical Programmer,NA,responded to follow-up,2024-12-11,"Hi Chang, Thank you for following up, i am waiting to hear feedback from team and will come back to you soon."
Southern Start Research,Senior/Statistical Programmer,NA,interview scheduling phone call,2024-12-12,
Southern Start Research,Senior/Statistical Programmer,NA,interview online,2024-12-17,
Southern Start Research,Senior/Statistical Programmer,NA,follow-up by email,2024-12-18,
Southern Start Research,Senior/Statistical Programmer,NA,rejected application,2025-01-13,Ruby called
Suncorp Group,Graduate Data Analyst,NA,submitted application,2024-10-30,graduated in 2021 or prior not eligible for application but got application submitted anyway
Suncorp Group,Graduate Data Analyst,NA,rejected application,2024-10-30,
Symbio Laboratories,Laboratory Analyst,79848482,submitted application,2024-10-31,
Talentech Consulting LLC,Senior Statistical Analyst,NA,responded to recruiter,2024-08-25,
Talentech Consulting LLC,Senior Statistical Analyst,NA,position description sent to LinkedIn chat,2024-08-27,
Therapeutic Goods Administration,Data Analyst APS Level 6,24-MDPQDIV-26486,submitted application,2024-10-21,
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,submitted application,2024-11-22,"Position title in job ad=Trial Statistical Programmer Specialist, position title used in communication=Programmer Analyst II"
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,sent CV,2024-11-25,sent updated resume to Gina Sasoon for internal reference
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,phone screen invitation,2024-12-03,
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,phone screen interview,2024-12-04,
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,follow-up by email,2024-12-09,
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,responded to follow-up,2024-12-10,"Hi Lun Hsien Thank you for your follow up email. The hiring manager is still reviewing the profiles and yet to revert with decision. I will reach out to you as soon as I hear from him (hoping latest end of this week). Please do keep me informed as well how you are tracking with the other opportunities you have applied to as well as that will help me manage expectations better. Many thanks! Kind Regards Charmian Charmian Kwan Senior Talent Acquisition, ANZ"
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,interview scheduling phone call,2024-12-13,
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,responded to follow-up,2024-12-16,"Hi Chang It will be different day 😊 How are you coming along with the other job applications? Are they looking that it might come into fruition? Keep me posted. @Villaruz, Ma Danica: Hi Danica, connecting you with Chang, to coordinate for the Programmer Analyst opportunity. Thank you!"
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,responded to questions,2024-12-16,"Charmian Kwan Attachments 9:58 AM (12 minutes ago) to me Hi Chang Thank you for your reply and for sharing your application progress with the other roles. Yes, confirming your interview will be with Hiring Manager- Dianyou Hu.  😊 All the best for the interview on Wednesday! By the way, I start my annual leave from Wednesday 18 Dec onwards and be back early Jan. Hence please do follow up with my colleague @Salire, Rona on how the interview went and she will be able to advise on next steps. @Salire, Rona: hello! FYI, Chang is interviewing on the 18 Dec. Please to connect you with him and I’ll leave him in your good hands! Thank you Rona! Kind Regards Charmian Charmian Kwan Senior Talent Acquisition, ANZ"
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,interview cancelled,2024-12-18,"Villaruz, Ma Danica 4:41 AM (4 hours ago) to me Hi Chang, Sorry for the late notice, but we will have to cancel this interview as the hiring manager is currently unavailable. I’m in close communication with him to confirm his next earliest availability. Please note that he is based in the US, so there might be a bit delay. We will keep you posted. Thank you. Best Regards, Ma Danica Villaruz (Nica) Candidate Experience Coordinator, APAC Thermo Fisher Scientific Phone: +61 (8) 70833418 madanica.villaruz@thermofisher.com | www.thermofisher.com PTO: Dec 16, 2024 | Dec 31 – Jan 3, 2025"
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,interview rescheduling phone call,2024-12-18,
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,interview online,2024-12-24,
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,interview scheduling phone call,2025-01-03,call from 02 84880308 by kristine.abella@thermofisher.com
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,interview online,2025-01-10,
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,accepted application,2025-01-16,"Email and then phone call from Charmian Kwan. Salary ranged 110-118k, 10% variable bonus. This role is assessed by 50% technical ability and 50% ability to be a cultural fit. Lacking certain technical experience is balanced out by your technical advantage in R and SAS. Contract will be processed by the team in India. Earliest employment start date either 10 or 17 Feb"
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,follow-up by phone call,2025-01-17,"(1) Officially congratulate you on the success of the application, (2) salary: base 112k + 11.5% super + variable bonus 10% depending on personal and business performance, (3) 1 (6?) month probation period, (4) Charmian on leave from 20 Jan to 11 Feb, (5) If you haven't received a contract from LifeCycle by 28 Jan reach out to Rona Salire, (6) verbally accept the offer on the phone, (7) Dianyu or Tiaan may reach out to you one week before employment start date 10 Feb to confirm your address for receiving IT equipment."
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,Submitted background check request,2025-01-18,Your Background Verification Forms (Request ID: HA-011725-NV43S) for PPD Australia Pty Ltd Have Been Received
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,background check,2025-01-22,Received an email from QIMR Berghofer Human Resources regarding a request for employment verification from HireRight
Thermo Fisher Scientific,Programmer Analyst II,R-01290716,ID verification,2025-01-22,Logged into Workday and completed 2 tasks- providing ID and personal information
University of Queensland,Bioinformatician,R-45474,submitted application,2024-11-21,
University of Queensland,Bioinformatician,R-45474,interview scheduling phone call,2024-12-09,
University of Queensland,Bioinformatician,R-45474,interview face to face,2024-12-13,
University of Queensland,Bioinformatician,R-45474,follow-up by email,2024-12-18,
Wenco International Mining Systems,Data Analyst,NA,submitted application,2024-10-14,
Wesley Research Institute,Data Scientist,NA,submitted application,2024-07-30,
Wesley Research Institute,Data Scientist,NA,rejected application,2024-09-02,
XPT Software,SAS Base Programmer,NA,submitted application,2024-10-11,
